용어번호,용어설명,용어명,요약
656,교통개선계획은 교통기본계획의 세부 실행계획으로 정의할 수 있으며 지역(수도권 서울시 자치구 등)의 교통기본계획상의 목적 달성을 위한 구체적인 수단으로서 세부 실행과정 단계 예산을 제시하는 실행계획(implementation plan)의 성격을 가진다. 비교적 소규모 지구단위에 수립하는 지구교통개선사업과는 구별된다.☞지구교통개선사업(STM)',교통개선계획(交通改善計劃 TIP; transportation improvement program),
830,미국생산성본부의 벤치마킹 추진위원회에 의하면 벤치마킹이란 체계적 그리고 지속적인 측정프로세스로서 자사의 성과개선에 유용한 정보를 얻기 위해 자사의 업무수행방식을 측정하고 동 방식을 전세계 어느 곳 어느 조직이든 선도지역 위치에 있는 조직의 프로세스와 비교하는 과정이다. 이때 선도자적 위치에 있는 조직이나 프로세스는 벤치마크가 되며 이 수준을 달성하기 위해 내부조직을 개혁하는 운영체계를 벤치마킹시스템이라고 한다. 벤치마킹은 1980년대에 들어 미국의 기업들이 국제경쟁력을 강화하기 위하여 제록스사가 처음으로 도입하여 성공한 이래 여러 기업들이 앞다투어 도입하기 시작한 경영혁신기법의 하나이다. 공공분야에서도 개혁의 차원에서 도입하는 지방정부가 많다.,벤치마킹(bench marking),
945,보통 가구(街區)의 크기인 50×100m를 몇 개 합친 크기의 대형가구(街區)를 말한다. 자동차의 대중화로 소형가구의 경우 교통소통 때문에 가구내의 활동을 원활히 할 수 없으므로 가구를 대형화하여 통과교통을 가구외곽으로 우회시킴으로서 도로의 감소를 통한 그 가구안에 필요한 편익시설의 확보 및 주거지나 상업지에서의 활동에 안전을 도모할 수 있다는 장점이 있다. 슈퍼블럭기법은 낭만주의적 계획기법의 일부로 처음 도입되었으며 슈퍼블럭기법을 도입한 대표적인 도시로 래드번(Radburn)과 발드윈 힐스(Baldwin Hills)지구의 주택단지를 들 수 있다.,슈퍼블록(大街區 super block),
1725,<span style='letter-spacing: 0.1pt'>도시계획시설로서 도로를 결정하는 경우 도로모퉁이는 교차되는 도로의 교차각도와</span> 폭원에 따라 <span style='letter-spacing: 0pt'>「</span>도시<span style='letter-spacing: 0pt'>;</span>군계획시설의 결정<span style='letter-spacing: 0pt'>;</span>구조 및 설치기준에 관한 규칙<span style='letter-spacing: 0pt'>」 </span><span style='letter-spacing: 0pt'>[</span>별표<span style='letter-spacing: 0pt'>]</span>에서 규정<span style='letter-spacing: -0.1pt'>하는 기준길이 이상으로 설치해야 한다</span><span style='letter-spacing: -0.1pt'>. </span><span style='letter-spacing: -0.1pt'>다만</span><span style='letter-spacing: -0.1pt'> </span><span style='letter-spacing: -0.1pt'>도로의 교차방식을 교통섬</span><span style='letter-spacing: -0.1pt'>;</span><span style='letter-spacing: -0.1pt'>변속차로 등</span>을 설치하는 방식에 의하거나 로터리를 설치하는 방식에 의하는 경우에는 도로모퉁이의 <span style='letter-spacing: 0.2pt'>길이를 당해 교차방식에 적합한 비율로 조정할 수 있다</span><span style='letter-spacing: 0.2pt'>. </span><span style='letter-spacing: 0.2pt'>도로모퉁이 부분의 보도와</span> 차도의 경계선은 원호<span style='letter-spacing: 0pt'>(</span><span style='letter-spacing: 0pt'>圓弧</span><span style='letter-spacing: 0pt'>) </span>또는 복합곡선이 되도록 하고<span style='letter-spacing: 0pt'> </span>곡선반경은 다음을 따라야 한다<span style='letter-spacing: 0pt'>. </span>만약 교차하는 도로의 기능별 분류가 서로 다른 때에는 교차지점의 곡선반경이 큰 도로의 기준을 적용하면 된다<span style='letter-spacing: 0pt'>. </span>;※ 도로모퉁이의 건축선<span style='letter-spacing: -0.5pt'>「</span><span style='letter-spacing: -0.5pt'>건축법</span><span style='letter-spacing: -0.5pt'>」</span><span style='letter-spacing: -0.5pt'>에 의해 너비 </span><span style='letter-spacing: -0.5pt'>8m </span><span style='letter-spacing: -0.5pt'>미만인 도로의 모퉁이에 위치한 대지의 도로모퉁이 부분의</span> <span style='letter-spacing: -0.1pt'>건축선은 그 대지에 접한 도로경계선의 교차점으로부터 도로경계선에 따라 다음의 </span>표에 의한 거리를 각각 후퇴한 <span style='letter-spacing: 0pt'>2</span>점을 연결한 선으로 한다<span style='letter-spacing: 0pt'>.</span><table style='border-right: medium none; border-collapse: collapse; border-bottom: medium none; border-left: medium none'>    <tbody><tr>            <td valign='middle' rowspan='2' style='border-top: #b3b3af 0.28pt solid; height: 25.64pt; border-right: #b3b3af 0.28pt solid; width: 90.07pt; background: #e5e5e5; border-bottom: #b3b3af 0.28pt solid; padding-bottom: 1.41pt; padding-top: 1.41pt; padding-left: 5.1pt; border-left: medium none; padding-right: 5.1pt'>            <div style='text-align: center'>도로의 교차각            </td>            <td valign='middle' colspan='2' style='border-top: #b3b3af 0.28pt solid; height: 12.82pt; border-right: #b3b3af 0.28pt solid; width: 122.66pt; background: #e5e5e5; border-bottom: #b3b3af 0.28pt solid; padding-bottom: 1.41pt; padding-top: 1.41pt; padding-left: 5.1pt; border-left: #b3b3af 0.28pt solid; padding-right: 5.1pt'>            <div style='text-align: center'>당해 도로의 너비            </td>            <td valign='middle' rowspan='2' style='border-top: #b3b3af 0.28pt solid; height: 25.64pt; border-right: medium none; width: 107.9pt; background: #e5e5e5; border-bottom: #b3b3af 0.28pt solid; padding-bottom: 1.41pt; padding-top: 1.41pt; padding-left: 5.1pt; border-left: #b3b3af 0.28pt solid; padding-right: 5.1pt'>            <div style='text-align: center'>교차되는 도로의 너비            </td>        </tr><tr>            <td valign='middle' style='border-top: #b3b3af 0.28pt solid; height: 12.82pt; border-right: #b3b3af 0.28pt solid; width: 61.33pt; background: #e5e5e5; border-bottom: #b3b3af 0.28pt solid; padding-bottom: 1.41pt; padding-top: 1.41pt; padding-left: 5.1pt; border-left: #b3b3af 0.28pt solid; padding-right: 5.1pt'>            <div style='text-align: center'><span style='letter-spacing: -0.5pt'>6</span>이상 <span style='letter-spacing: -0.5pt'>8</span>미만            </td>            <td valign='middle' style='border-top: #b3b3af 0.28pt solid; height: 12.82pt; border-right: #b3b3af 0.28pt solid; width: 61.33pt; background: #e5e5e5; border-bottom: #b3b3af 0.28pt solid; padding-bottom: 1.41pt; padding-top: 1.41pt; padding-left: 5.1pt; border-left: #b3b3af 0.28pt solid; padding-right: 5.1pt'>            <div style='text-align: center'><span style='letter-spacing: -0.5pt'>4</span>이상 <span style='letter-spacing: -0.5pt'>6</span>미만            </td>        </tr><tr>            <td valign='middle' rowspan='2' style='border-top: #b3b3af 0.28pt solid; height: 25.64pt; border-right: #b3b3af 0.28pt solid; width: 90.07pt; border-bottom: #b3b3af 0.28pt solid; padding-bottom: 1.41pt; padding-top: 1.41pt; padding-left: 5.1pt; border-left: medium none; padding-right: 5.1pt'>            <div style='text-align: center'><span style='letter-spacing: -0.5pt'>90</span><span style='letter-spacing: -0.5pt'>˚</span>미만            </td>            <td valign='middle' style='border-top: #b3b3af 0.28pt solid; height: 12.82pt; border-right: #b3b3af 0.28pt solid; width: 61.33pt; border-bottom: #b3b3af 0.28pt solid; padding-bottom: 1.41pt; padding-top: 1.41pt; padding-left: 5.1pt; border-left: #b3b3af 0.28pt solid; padding-right: 5.1pt'>            <div style='text-align: center'><span style='letter-spacing: -0.5pt'>4m</span>            </td>            <td valign='middle' style='border-top: #b3b3af 0.28pt solid; height: 12.82pt; border-right: #b3b3af 0.28pt solid; width: 61.33pt; border-bottom: #b3b3af 0.28pt solid; padding-bottom: 1.41pt; padding-top: 1.41pt; padding-left: 5.1pt; border-left: #b3b3af 0.28pt solid; padding-right: 5.1pt'>            <div style='text-align: center'><span style='letter-spacing: -0.5pt'>3m</span>            </td>            <td valign='middle' style='border-top: #b3b3af 0.28pt solid; height: 12.82pt; border-right: medium none; width: 107.9pt; border-bottom: #b3b3af 0.28pt solid; padding-bottom: 1.41pt; padding-top: 1.41pt; padding-left: 5.1pt; border-left: #b3b3af 0.28pt solid; padding-right: 5.1pt'>            <div style='text-align: center'><span style='letter-spacing: -0.5pt'>6m</span>이상 <span style='letter-spacing: -0.5pt'>8m</span>미만            </td>        </tr><tr>            <td valign='middle' style='border-top: #b3b3af 0.28pt solid; height: 12.82pt; border-right: #b3b3af 0.28pt solid; width: 61.33pt; border-bottom: #b3b3af 0.28pt solid; padding-bottom: 1.41pt; padding-top: 1.41pt; padding-left: 5.1pt; border-left: #b3b3af 0.28pt solid; padding-right: 5.1pt'>            <div style='text-align: center'><span style='letter-spacing: -0.5pt'>3m</span>            </td>            <td valign='middle' style='border-top: #b3b3af 0.28pt solid; height: 12.82pt; border-right: #b3b3af 0.28pt solid; width: 61.33pt; border-bottom: #b3b3af 0.28pt solid; padding-bottom: 1.41pt; padding-top: 1.41pt; padding-left: 5.1pt; border-left: #b3b3af 0.28pt solid; padding-right: 5.1pt'>            <div style='text-align: center'><span style='letter-spacing: -0.5pt'>2m</span>            </td>            <td valign='middle' style='border-top: #b3b3af 0.28pt solid; height: 12.82pt; border-right: medium none; width: 107.9pt; border-bottom: #b3b3af 0.28pt solid; padding-bottom: 1.41pt; padding-top: 1.41pt; padding-left: 5.1pt; border-left: #b3b3af 0.28pt solid; padding-right: 5.1pt'>            <div style='text-align: center'><span style='letter-spacing: -0.5pt'>4m</span>이상 <span style='letter-spacing: -0.5pt'>6m</span>미만            </td>        </tr><tr>            <td valign='middle' rowspan='2' style='border-top: #b3b3af 0.28pt solid; height: 25.64pt; border-right: #b3b3af 0.28pt solid; width: 90.07pt; border-bottom: #b3b3af 0.28pt solid; padding-bottom: 1.41pt; padding-top: 1.41pt; padding-left: 5.1pt; border-left: medium none; padding-right: 5.1pt'>            <div style='text-align: center'><span style='letter-spacing: -0.5pt'>90</span><span style='letter-spacing: -0.5pt'>˚</span>이상 <span style='letter-spacing: -0.5pt'>120</span><span style='letter-spacing: -0.5pt'>˚</span>미만            </td>            <td valign='middle' style='border-top: #b3b3af 0.28pt solid; height: 12.82pt; border-right: #b3b3af 0.28pt solid; width: 61.33pt; border-bottom: #b3b3af 0.28pt solid; padding-bottom: 1.41pt; padding-top: 1.41pt; padding-left: 5.1pt; border-left: #b3b3af 0.28pt solid; padding-right: 5.1pt'>            <div style='text-align: center'><span style='letter-spacing: -0.5pt'>3m</span>            </td>            <td valign='middle' style='border-top: #b3b3af 0.28pt solid; height: 12.82pt; border-right: #b3b3af 0.28pt solid; width: 61.33pt; border-bottom: #b3b3af 0.28pt solid; padding-bottom: 1.41pt; padding-top: 1.41pt; padding-left: 5.1pt; border-left: #b3b3af 0.28pt solid; padding-right: 5.1pt'>            <div style='text-align: center'><span style='letter-spacing: -0.5pt'>2m</span>            </td>            <td valign='middle' style='border-top: #b3b3af 0.28pt solid; height: 12.82pt; border-right: medium none; width: 107.9pt; border-bottom: #b3b3af 0.28pt solid; padding-bottom: 1.41pt; padding-top: 1.41pt; padding-left: 5.1pt; border-left: #b3b3af 0.28pt solid; padding-right: 5.1pt'>            <div style='text-align: center'><span style='letter-spacing: -0.5pt'>6m</span>이상 <span style='letter-spacing: -0.5pt'>8m</span>미만            </td>        </tr><tr>            <td valign='middle' style='border-top: #b3b3af 0.28pt solid; height: 12.82pt; border-right: #b3b3af 0.28pt solid; width: 61.33pt; border-bottom: #b3b3af 0.28pt solid; padding-bottom: 1.41pt; padding-top: 1.41pt; padding-left: 5.1pt; border-left: #b3b3af 0.28pt solid; padding-right: 5.1pt'>            <div style='text-align: center'><span style='letter-spacing: -0.5pt'>2m</span>            </td>            <td valign='middle' style='border-top: #b3b3af 0.28pt solid; height: 12.82pt; border-right: #b3b3af 0.28pt solid; width: 61.33pt; border-bottom: #b3b3af 0.28pt solid; padding-bottom: 1.41pt; padding-top: 1.41pt; padding-left: 5.1pt; border-left: #b3b3af 0.28pt solid; padding-right: 5.1pt'>            <div style='text-align: center'><span style='letter-spacing: -0.5pt'>2m</span>            </td>            <td valign='middle' style='border-top: #b3b3af 0.28pt solid; height: 12.82pt; border-right: medium none; width: 107.9pt; border-bottom: #b3b3af 0.28pt solid; padding-bottom: 1.41pt; padding-top: 1.41pt; padding-left: 5.1pt; border-left: #b3b3af 0.28pt solid; padding-right: 5.1pt'>            <div style='text-align: center'><span style='letter-spacing: -0.5pt'>4m</span>이상 <span style='letter-spacing: -0.5pt'>6m</span>미만            </td>        </tr>    </tbody></table>;,도로모퉁이의 길이 (가각전제),도로의 교차지점에서의 교통을 원활히 하고 시야를 충분히 확보하기 위하여 필요한 경우 도로모퉁이의 길이를 일정 기준 이상으로 확보하는 것을 말한다.
838,도로의 본선에 접하여 주차 변속 회전 대기 엇갈림 트럭의 오르막 주행 등 직진하는 교통흐름의 보조하기 위해 설치되는 차로를 말한다.,보조차로(補助車路 auxiliary lane),
495,보존지구는 보존 대상 및 지정목적에 따라 다음과 같이 세분된다.        역사문화환경보존지구 : 문화재;전통사찰 등 역사;문화적으로 보존가치가 큰 시설 및 지역의 보호와 보존을 위하여 필요한 지구            중요시설물보존지구 : 국방상 또는 안보상 중요한 시설물의 보호와 보존을 위하여 필요한 지구            생태계보존지구 : 야생동식물서식처 등 생태적으로 보존가치가 큰 지역의 보호와 보존을 위하여 필요한 지구    보존지구 안에서는 특별시장;광역시장;시장 또는 군수가 인정하여 지방자치단체의 도시계획위원회의 심의를 거친 경우 이외에는 도시계획조례에서 각 보존지구마다 허용한 건축물에 한해서만 건축할 수 있도록 엄격히 제한하고 있다.「국토의 계획 및 이용에 관한 법률 시행령」에 따른 각 보존지구에서 허용되는 건축물은 다음과 같다.        역사문화환경보존지구 : 문화재보호법의 적용을 받는 문화재를 직접 관리;보호하기 위한 건축물과 문화적으로 보존가치가 큰 지역의 보호 및 보존을 저해하지 아니하는 건축물로서 도시;군계획조례가 정하는 것            중요시설물보존지구 : 국방상 또는 안보상 중요한 시설물의 보호 및 보존을 저해하지 아니하는 건축물로서 도시;군계획조례가 정하는 것            생태계보존지구 : 생태적으로 보존가치가 큰 지역의 보호 및 보존을 저해하지 아니하는 건축물로서 도시;군계획조례가 정하는 것        ;,보존지구,문화재 중요 시설물 및 문화적;생태적으로 보존가치가 큰 지역의 보호와 보존을 위해 지정하는 「국토의 계획 및 이용에 관한 법률」에 의한 용도지구의 하나이다.
846,차량의 통행이 허용되지 않고 보행자의 안전?편리성 등을 확보하기 위하여 보행자를 위해 전적으로 사용하는 도로를 말한다. 「도시계획시설의결정?구조및설치기준에관한규칙」에 의하면 보행자전용도로의 폭은 1.5m 이상으로 규정하고 있다.☞ 도로',보행자 전용도로(步行者 專用道路),
560,「국토의계획및이용에관한법률」에 의하면 도시계획사업에 의하지 아니하고 행하는 건축물의 건축 또는 공작물의 설치 토지의 형질변경 토석채취 도시지역에서의 토지분할 녹지지역?관리지역 또는 자연환경보전지역안에서 물건을 1월 이상 적치하는 행위를 말한다. 이러한 개발행위에 대해서는 특별시장?광역시장?시장 또는 군수의 허가를 받아야 한다.,개발행위(開發行爲),
658,교통광장은 효율적으로 교통을 처리할 목적으로 설치되는 광장을 말하며 교통광장이 설치되는 위치에 따라 교차점광장 역전광장 주요시설광장으로 구분으로 구분할 수 있다. 교차점광장은 도시내 주요가로의 교차점에서 설치하는 광장이며 역전광장은 철도역에 접속하여 설치하는 광장이고 주요시설광장은 원활한 교통처리를 위하여 당해 시설에 접속하여 설치하는 광장이다.☞ 광장',교통광장(交通廣場),
660,차량의 안전하고 원활한 교통을 확보하거나 보행자의 안전한 도로횡단을 위하여 교차로 또는 차도의 분기점 등에 설치되는 차도와 분리된 섬모양의 시설을 말한다.,교통섬(traffic island),
661,교통운영체계관리(TSM)중의 한 분야로 볼 수 있으며 교통시설공급 측면보다 교통수요를 조절하여 교통문제를 해결하려는 방안으로 장기적인 공급측면의 시설 확충과 함께 한시적 방법으로 사용되어지고 있다. 10부제운행 차고지증명제 혼잡통행료징수 승용차 함께타기(카풀) 등과 같이 교통수요 자체를 낮추는 방안이다.☞교통운영체계관리(TSM)',교통수요관리(TDM; transportation demand management),
843,도심의 상업?업무지구에서 간선도로로 둘러싸인 대형가구내부에 차량 진입을 완전히 통제하고 보행광장 소공원 보행자전용도로 등이 복합적으로 조성된 구역을 말한다. 차량대중화의 영향으로 도심지역의 교통체증이 지속적으로 발생하고 주차공간도 극히 부족해짐에 따라 도심 상업시설의 이용자가 점차 감소하고 업무지구의 환경악화도 가속화되고 있으므로 보행자구역의 설치는 대중교통 이용자를 적극 유치하여 도심을 활성화시키고 환경개선을 도모하기 위하여 채택되는 계획기법이다.,보행자구역(步行者區域),
370,시빌 미니멈은 1960년대 중반 일본 도쿄도의 중기계획;에서 처음 사용한 개념으로 근대적인 대도시가 당연히 갖추어야 하는 조건의 최저한도 즉 도시에서 생활하는 시민들이 안전 및 건강 능률적이고 쾌적한 도시생활을 영위하는데 필요한 최저조건으로 정의하고 있다.,시빌 미니멈 (Civil Minimum),
662,장래교통체계에서 발생될 수요를 현재시점에서 예측하는 작업으로서 교통계획을 수립하는데 기본자료가 된다. 전통적으로 가장 많이 사용되는 4단계 수요추정 방법은 현재의 토지이용과 교통체계를 토대로 하여 ①통행발생(trip generation) ②통행분포(trip distribution) ③교통수단분담(mode choice) ④통행배분(trip assignment)의 순서로 통행량을 구하는 기법이다.,교통수요추정(交通需要推定),
847,혼합적 토지이용의 개념에 근거하여 주거와 업무 상업 문화 등 상호보완이 가능한 용도를 서로 밀접한 관계를 가질 수 있도록 연계?개발하는 것을 말한다. 미국의 ULI(Urban Land Institute 1976)에서 규정한 복합용도 개발의 주요개념은 첫째 독립적인 수익성을 지니는 3가지 이상의 용도를 수용해야 하며 둘째 혼란스럽지 않은 보행동선체계로 모든 기능을 서로 연결하여 물리적?기능적으로 통합되어야 하고 셋째 하나의 개발계획에 의하여 일관성있게 개발되어야 한다고 되어 있다. 종래에는 주거와 상업 업무의 복합화로 이루어진 주상복합건물이나 주상복합단지 등 다소 소극적인 수준에서 복합개발이 이루어졌으나 최근에는 도시계획적 차원에서 주거 산업 학술 연구 등의 복합화로 이루어진 첨단과학단지 연구학원도시 테크노폴리스 텔레포트 인텔리젼트시티 등 첨단기술과 연계된 적극적인 복합화 혼합화가 구현되고 있다.,복합용도개발(複合用途開發 mixed-use development),
925,1882년 독자적인 생각으로 선형 도시를 제안한 것으로 유명하다. 그는 도시의 교통문제에 관심을 가지고 마드리드에 처음 노면전차를 개설하는 사업에 관계하였다. 그의 안은 궤도를 중심으로 한 너비 500m의 토지를 확보해서 수도 가스 전기 등 시설 외에 공원 소방서 보건소 등의 서비스시설을 설치하고 단독주택에 의한 주택지 개발을 하는 것으로서 얼마든지 연속해서 연장할 수 있는 특징을 가지고 있다. 궤도의 양쪽 택지들은 300m 간격으로 너비 20m의 도로로 분할되고 대지규모는 4~6ha의 슈퍼블럭이 기준으로 되어 있다. 슈퍼블럭의 적용의 예로서 ① 기성도시의 근교를 도는 환형 ② 두 개의 도시를 연결하는 형 ③ 도시화가 되지 않은 신도시예정지역 등을 거론하였다.,소리아 이 마타(Mata Soria Y),
936,수변공간이란 수제선(水際線)을 사이에 두고 육역(陸域)과 수역(水域)이 합쳐지는 일정부분으로 정의할 수 있다. 미국에서의 수변공간의 범위는 주마다 차이가 있지만 일반적으로 바다쪽으로는 수제선으로부터 3마일(4.8km) 3해리(5.6km)를 대상으로 하고 있으며 배후육지의 경우 최소 50m에서 최대 10km까지를 설정하고 있다. 일본에서는 수제선에서 육역 해역 다같이 50m 폭으로 규정하고 있으나 경관계획분야에서는 육지쪽으로는 평지부의 경우 5km 이내의 공간을 지칭하는 경우가 많다.,수변공간(水邊空間),
974,산업의 집적을 활성화하고 공장의 원활한 설립을 지원하여 지속적인 산업발전 및 균형있는 지역발전 그리고 국민경제의 건전한 발전에 이바지함을 목적으로 하는 「산업집적활성화및공장설립에관한법률」에 근거하여 3층 이상의 집합건축물안에 6개 이상의 공장이 동시에 입주할 수 있는 다층형 집합건축물을 말한다.,아파트형공장(APT型工場),
1599,이러한 근린주구의 개념은 주구 내 도보 통학이 가능한 초등학교를 중심으로 공공시설을 적절히 배치함으로써 주민생활의 안전성과 편리성 쾌적성을 확보함은 물론 주민들 상호 간 사회적 교류를 촉진시키기 위한 목적으로 1920년대 미국의 페리(C. A. Perry)에 의해 제시되었다.페리에 의한 근린주구 조성의 6가지 계획원칙은 다음과 같다.        규모 : 주거단위는 하나의 초등학교 운영에 필요한 인구규모를 가져야 하고 면적은 인구밀도에 따라 달라진다.            주구의 경계 : 주구 내 통과교통을 방지하고 차량을 우회시킬 수 있는 간선도로로 계획한다.            오픈스페이스 : 주민의 욕구를 충족시킬 수 있는 소공원과 레크레이션 체계를 갖춘다.            공공시설 : 학교와 공공시설은 주구 중심부에 적절히 통합 배치한다.            상업시설 : 주구 내 인구를 서비스할 수 있는 적당한 상업시설을 1개소 이상 설치하되 인접 근린주구와 면해 있는 주구외곽의 교통결절부에 배치한다.            내부도로체계 : 순환교통을 촉진하고 통과교통을 배제하도록 일체적인 가로망으로 계획한다.    근린주구는 사회적으로 주민 생활 공동체를 제시하여 주민들 상호간의 공동연대를 강화하고 물리적;공간적으로 안전하고 쾌적한 생활환경을 조성하기 위한 공공시설의 효율적인 배치를 제시한다는 점에서 의의를 가진다.이러한 페리의 근린주구 개념은 현대의 도시계획에서 초등학교 중학교 학군을 중심으로 하는 인구 2~3만인 규모의 소생활권(근린생활권)의 개념으로 이어지고 있다.;하지만 현대사회의 생활은 과거보다 훨씬 복잡 다양화 되었으며 교통수단의 발달 커뮤니케이션 수단의 발달로 인한 생활권의 지속적 확대현상과 최근 대두되고 있는 직주근접(職住近接) 개념의 측면에서 볼 때 경직성을 탈피해야할 필요성도 지적된다.한편 「국토의 계획 및 이용에 관한 법률」에서는 도시기본계획의 수립시 도시의 공간구조 생활권의 설정 및 인구의 배분에 관한 사항을 포함하도록 하고 있으며 특히 도시관리계획의 수립기준에서 도시의 공간구조는 생활권단위로 적정하게 구분하고 생활권별로 생활;편익시설이 고루 갖추어지도록 해야 한다고 규정하고 있다.,근린주구 (Neighborhood Unit),도시계획 접근방법의 하나로서 어린이놀이터 상점 교회당 학교와 같이 주민생활에 필요한 공공시설의 기준을 마련하고자 초등학교 도보권을 기준으로 설정된 단위주거구역을 말한다.
510,수산자원보호구역은 해양수산부장관이 직접 또는 관계 행정기관의 장의 요청을 받아 도시관리계획으로 지정;변경하게 되며 「국토의 계획 및 이용에 관한 법률」에 의해 용적률은 80%이하 건폐율은 40%이하로 제한한다.수산자원보호구역은 그 구역을 관할하는 특별시장;광역시장;특별자치도지사;시장 또는 군수가 관리해야하며 관리관청은 대통령령으로 정하는 바에 따라 수산자원보호구역의 토지 또는 공유수면의 이용실태를 조사하여야 한다.수산자원보호구역 안에서의 「국토의 계획 및 이용에 관한 법률」에 따른 도시계획사업은 국방상 또는 공익상 수산자원보호구역에서의 사업시행이 불가피한 것으로서 관계 중앙행정기관의 장의 요청에 따라 해양수산부장관이 수산자원보호구역의 지정목적 달성에 지장이 없다고 인정하는 사업에 한하여 시행할 수 있다.또한 수산자원보호구역 안에서는 도시계획사업에 의하는 경우를 제외한 다음의 어느 하나에 해당하는 행위에 한하여 관리관청의 허가를 받은 경우에만 이를 할 수 있다.    수산자원의 보호 또는 육성 등을 위하여 필요한 건축물이나 그 밖의 시설 중 대통령령으로 정하는 종류와 규모의 건축물이나 그 밖의 시설을 건축하는 행위    주민의 생활을 영위하는데 필요한 건축물이나 그 밖의 시설을 설치하는 행위로서 「수산자원관리법 시행령」으로 정하는 행위    「산림자원의 조성 및 관리에 관한 법률」 또는 「산지관리법」에 따른 조림;육림;임도의 설치나 그 밖에 「수산자원관리법 시행령」 에 규정된 경미한 행위,수산자원보호구역,수산자원을 보호;육성하기 위하여 필요한 공유수면이나 그에 인접한 토지에 대해 설정하는 「국토의 계획 및 이용에 관한 법률」에 의한 용도구역의 하나이다.
689,미국의 건축가이며 도시계획가인 페리(Perry. C. A)가 1929년 제안한 도시계획 접근방법의 하나이다. 어린이놀이터 상점 교회당 학교와 같이 주민생활에 필요한 공공시설의 기준을 마련하고자 초등학교 도보권을 기준으로 설정된 단위주구를 말한다. 주구는 보통 2~3개의 분구로서 구성하는데 2000호~3000호의 주택과 인구규모는 대체로 10000인~15000인 그리고 가구면적은 1㎢ 내외로 정한다. 각 주구에는 초등학교를 중심으로 동사무소 파출소 은행 수퍼마켓 도서관 근린공원 목욕탕 치과병원 교회 및 주유소 등의 공익시설의 배치가 요구된다. 주구 중심시설은 초등학교와 동사무소 및 수퍼마켓을 포함하는 주구 상점가로서 분구에서 1000m 이내에 위치하도록 하여 일상생활의 동선의 안전성 확보에 특히 유의하여야 한다.,근린주구(近隣住區 neighborhood unit),
690,급수보급률이라고도 하며 급수구역내 총인구에 대한 급수인구의 비를 말한다. 2004년 현재 도시 평균급수율이 99.9%정도이고 대도시일수록 높은 급수율을 보이고 있다.,급수율(給水率),
367,;복합환승센터란 열차ㆍ항공기ㆍ선박ㆍ지하철ㆍ버스ㆍ택시ㆍ승용차 등 교통수단 간의 원활한 <a class='LINK' href='javascript:openWordLink('연계');'>연계</a>교통 및 환승활동과 상업ㆍ업무 등 사회경제적 활동을 복합적으로 지원하기 위하여 환승시설 및 환승지원시설이 상호 <a class='LINK' href='javascript:openWordLink('연계');'>연계</a>성을 가지고 한 장소에 모여 있는 시설을 말한다.,복합환승센터,
519,BTO(Build-Transfer-Operate)는 「사회기반시설에 대한 민간투자법」에 의한 민간투자사업 방식의 하나이다. 사회기반시설의 준공(Build)과 동시에 당해시설의 소유권이 국가 또는 지방자치단체에 귀속(Transfer)되며 사업시행자에게 일정기간의 시설관리운영권(Operate)을 인정하는 방식으로 시행되는 민간투자사업이다.우리나라에서는 사회기반시설확충에 대한 정부 및 지방자치단체의 재원부담을 경감하고 민간에 의한 창의적이고 효율적인 시설 운영을 도모하고자 1999년 「민자유치특례법」을 제정하였고 이후 1998년 「사회기반시설에 대한 민간투자법」으로 전면 개정되면서 민간투자 활성화를 도모하고 있으며 외국자본의 투자도 유치하고 있다.BTO 방식은 주로 도로;철도;항만 등 교통시설 등 운영에 따른 충분한 사용료수익으로 투자금 회수가 예상되는 시설을 대상으로 시행되며 정부의 민간투자사업계획에 의한 정부주도의 시행은 물론 민간제안방식으로도 시행 가능하다.BTO 방식의 민간투자자는 준공 후 약정된 시설관리 운영기간동안 시설사용자로부터 직접 이용료를 징수하여 수익을 올리고 투자금을 회수하게 되므로 수익형 민간투자사업;이라고도 한다.이러한 BTO 방식을 수행하는 사업자 입장에서는 투자금 회수를 위한 수요자 예측이 중요하며 투자에 대한 위험부담이 크다는 특징이 있으므로 BTO 방식의 사업이 어려운 공공시설사업(사용자로부터 사용료 부과가 어렵거나 사용료 부과만으로는 투자비 회수가 어려운 교육;문화;복지시설 등을 대상으로 하는 민간투자사업)은 주로 정부가 적정수익률을 보장해주는 BTL(Build-Transfer-Lease) 방식에 의해 시행된다.,수익형 민간투자사업 (BTO; Build-Transfer-Operate),민간이 건설하고 소유권은 정부나 지자체로 양도한 채 일정기간동안 민간이 직접 운영하여 사용자 이용료로 수익을 추구하는 민간투자사업 방식을 말한다.
